poll,rank,team_id,team_name
AP Top 25,1,150,Blue Devils
AP Top 25,2,248,Cougars
AP Top 25,3,57,Gators
AP Top 25,4,2,Tigers
AP Top 25,5,2599,Red Storm
AP Top 25,6,2633,Volunteers
AP Top 25,7,333,Crimson Tide
AP Top 25,8,127,Spartans
AP Top 25,9,2641,Red Raiders
AP Top 25,10,97,Cardinals
AP Top 25,11,120,Terrapins
AP Top 25,12,228,Tigers
AP Top 25,13,275,Badgers
AP Top 25,14,130,Wolverines
AP Top 25,15,66,Cyclones
AP Top 25,16,235,Tigers
AP Top 25,17,252,Cougars
AP Top 25,18,96,Wildcats
AP Top 25,19,245,Aggies
AP Top 25,20,2608,Gaels
AP Top 25,21,12,Wildcats
AP Top 25,22,2509,Boilermakers
AP Top 25,23,142,Tigers
AP Top 25,24,2250,Bulldogs
AP Top 25,25,2483,Ducks
